Lat,lon,amp
14.5041,-90.5176349398,2.3048508143
14.5041,-90.5169626506,2.30572032764
14.5041,-90.5162903614,2.3065868852
14.5041,-90.5156180723,2.30745034927
14.5041,-90.5149457831,2.30831058279
14.5041,-90.514273494,2.30916744944
14.5041,-90.5136012048,2.31002081373
14.5041,-90.5129289157,2.31087054103
14.5041,-90.5122566265,2.31171649771
14.5041,-90.5115843373,2.31255855113
14.5041,-90.5109120482,2.31339656977
14.5041,-90.510239759,2.31423042329
14.5041,-90.5095674699,2.31505998258
14.5041,-90.5088951807,2.31588511983
14.5041,-90.5082228916,2.31670570861
14.5041,-90.5075506024,2.31752162392
14.5041,-90.5068783133,2.31833274224
14.5041,-90.5062060241,2.31913894161
14.5041,-90.5055337349,2.31994010169
14.5041,-90.5048614458,2.32073610377
14.5041,-90.5041891566,2.32152683089
14.5041,-90.5035168675,2.3223121678
14.5041,-90.5028445783,2.32309200111
14.5041,-90.5021722892,2.32386621925
14.5041,-90.5015,2.32463471254
14.5041,-90.5008277108,2.32539737323
14.5041,-90.5001554217,2.32615409555
14.5041,-90.4994831325,2.32690477569
14.5041,-90.4988108434,2.32764931191
14.5041,-90.4981385542,2.32838760448
14.5041,-90.4974662651,2.32911955576
14.5041,-90.4967939759,2.3298450702
14.5041,-90.4961216867,2.33056405436
14.5041,-90.4954493976,2.33127641693
14.5041,-90.4947771084,2.33198206871
14.5041,-90.4941048193,2.33268092268
14.5041,-90.4934325301,2.33337289393
14.5041,-90.492760241,2.33405789972
14.5041,-90.4920879518,2.33473585947
14.5041,-90.4914156627,2.33540669473
14.5041,-90.4907433735,2.33607032919
14.5041,-90.4900710843,2.33672668868
14.5041,-90.4893987952,2.33737570114
14.5041,-90.488726506,2.33801729666
14.5041,-90.4880542169,2.33865140737
14.5041,-90.4873819277,2.33927796752
14.5041,-90.4867096386,2.3398969134
14.5041,-90.4860373494,2.34050818337
14.5041,-90.4853650602,2.34111171777
14.5041,-90.4846927711,2.34170745896
14.5041,-90.4840204819,2.34229535129
14.5041,-90.4833481928,2.34287534104
14.5041,-90.4826759036,2.34344737643
14.5041,-90.4820036145,2.34401140757
14.5041,-90.4813313253,2.34456738647
14.5041,-90.4806590361,2.34511526698
14.5041,-90.479986747,2.34565500478
14.5041,-90.4793144578,2.34618655737
14.5041,-90.4786421687,2.34670988403
14.5041,-90.4779698795,2.34722494582
14.5041,-90.4772975904,2.34773170553
14.5041,-90.4766253012,2.34823012771
14.5041,-90.475953012,2.3487201786
14.5041,-90.4752807229,2.34920182617
14.5041,-90.4746084337,2.34967504008
14.5041,-90.4739361446,2.3501397917
14.5041,-90.4732638554,2.35059605408
14.5041,-90.4725915663,2.35104380196
14.5041,-90.4719192771,2.35148301179
14.5041,-90.471246988,2.35191366174
14.5041,-90.4705746988,2.3523357317
14.5041,-90.4699024096,2.35274920329
14.5041,-90.4692301205,2.35315405993
14.5041,-90.4685578313,2.35355028681
14.5041,-90.4678855422,2.35393787098
14.5041,-90.467213253,2.35431680133
14.5041,-90.4665409639,2.35468706869
14.5041,-90.4658686747,2.35504866584
14.5041,-90.4651963855,2.35540158759
14.5041,-90.4645240964,2.35574583083
14.5041,-90.4638518072,2.35608139457
14.5041,-90.4631795181,2.35640828003
14.5041,-90.4625072289,2.35672649074
14.5041,-90.4618349398,2.35703603256
14.5041,-90.4611626506,2.35733691377
14.5041,-90.4604903614,2.35762914519
14.5041,-90.4598180723,2.35791274024
14.5041,-90.4591457831,2.35818771499
14.5041,-90.458473494,2.3584540883
