,lon,lat,folder,Zona,prof,Zona2,ml
206,-91.311,13.6104,2019-12-19-1553,0,14.3359,Superficial,4.23
207,-91.4169,13.4014,2019-12-19-1600,0,10.4889,Superficial,3.96
208,-91.2306,13.5135,2019-12-19-1622,0,11.3028,Superficial,4.1
209,-91.1897,13.4946,2019-12-20-0232,0,18.5766,Intra 1,3.6
210,-91.1143,13.6686,2019-12-20-0944,0,30.6993,Intra 1,3.83
211,-91.332,13.5989,2019-12-21-0200,0,77.8865,Intra 2,4.37
212,-91.4737,13.3723,2019-12-21-0205,0,73.7098,Intra 2,4.69
213,-91.4033,13.5309,2019-12-21-0233,0,42.2066,Intra 1,3.87
214,-91.3055,13.6211,2019-12-21-1809,0,21.9621,Intra 1,3.21
215,-90.8254,13.4637,2019-12-21-2029,0,25.0,Intra 1,4.28
216,-92.3321,13.8979,2019-12-23-0227,0,38.6702,Intra 1,3.75
217,-91.2682,13.5524,2019-12-24-0131,0,26.3281,Intra 1,3.79
218,-91.6188,13.3595,2019-12-24-2240,0,69.809,Intra 2,4.43
219,-91.3504,13.3301,2019-12-25-0627,0,23.7672,Intra 1,3.64
220,-91.4036,13.3108,2019-12-25-0934,0,6.1104,Superficial,3.32
221,-91.0594,13.6376,2019-12-26-1242,0,29.4202,Intra 1,3.63
222,-90.9923,13.1774,2019-12-27-0746,0,17.5238,Intra 1,2.96
223,-92.0511,14.1269,2019-12-29-0515,0,58.465,Intra 1,3.75
224,-91.5536,13.23,2019-12-31-0439,0,50.9372,Intra 1,3.89
225,-91.6274,13.5259,2019-12-31-0837,0,38.0314,Intra 1,4.4
226,-90.4582,13.3908,2020-01-01-1111,0,36.351,Intra 1,4.53
227,-90.9252,13.4972,2020-01-01-1130,0,17.4263,Intra 1,3.04
228,-91.0391,13.6017,2020-01-01-1131,0,50.2192,Intra 1,3.67
229,-92.301,13.6697,2020-01-01-1455,0,63.6518,Intra 1,4.08
230,-90.241,12.8493,2019-02-14-1054,1,40.1767,Intra 1,4.12
231,-90.416,13.317,2019-03-16-1944,1,42.5131,Intra 1,3.77
232,-89.3679,12.9104,2019-03-20-2230,1,39.9991,Intra 1,4.71
233,-89.3466,12.2654,2019-03-26-1201,1,20.8978,Intra 1,5.75
234,-90.2935,13.3755,2019-04-02-2048,1,59.8626,Intra 1,4.7
235,-89.7559,13.1503,2019-04-05-0908,1,43.5904,Intra 1,4.83
236,-90.2517,12.7228,2019-04-07-0958,1,35.5839,Intra 1,3.56
237,-88.8803,12.4285,2019-04-08-2225,1,36.1961,Intra 1,5.45
238,-90.3608,12.8415,2019-04-12-0755,1,37.1613,Intra 1,4.52
239,-90.4762,12.9385,2019-05-01-0803,1,11.0971,Superficial,4.0
240,-90.1609,13.2397,2019-05-09-1029,1,15.7214,Intra 1,3.73
